,carat,cut,color,clarity,depth,table,price,x,y
17685,1.02,Ideal,G,VS1,61.6,55,7129,6.53,6.46
17686,1.23,Ideal,H,VS2,62.2,55,7130,6.81,6.85
17687,1.06,Premium,G,VS1,62,58,7130,6.56,6.51
17688,1.06,Premium,G,VS1,62.8,56,7130,6.52,6.47
17689,1.3,Premium,D,SI2,60.2,59,7130,7.05,7
17690,1.19,Premium,G,VS2,62.3,58,7130,6.82,6.77
17691,0.91,Very Good,E,VVS2,61.1,61,7131,6.24,6.2
17692,2.27,Fair,G,I1,68.6,56,7131,7.99,7.94
17693,1.06,Very Good,G,VS1,61.7,57,7132,6.52,6.56
17694,1.27,Premium,G,SI1,61.4,59,7133,6.98,6.94
17695,1.21,Ideal,I,VVS2,62.2,55,7134,6.79,6.83
17696,1,Good,G,VVS1,63.8,60,7134,6.35,6.31
17697,1.01,Very Good,F,VS2,63.8,55,7135,6.31,6.38
17698,1.51,Very Good,J,SI1,62.4,58,7136,7.27,7.32
17699,1.11,Ideal,H,VVS2,61.2,56,7136,6.74,6.7
17700,1.01,Very Good,G,VVS2,62.5,54,7137,6.38,6.41
17701,0.32,Ideal,G,SI1,60.9,57,612,4.46,4.44
17702,0.32,Ideal,G,SI1,60.8,56,612,4.48,4.44
17703,0.32,Premium,G,SI1,60.5,59,612,4.43,4.39
17704,0.32,Ideal,D,SI2,61.4,56,612,4.46,4.43
17705,0.31,Good,H,VVS1,63.7,56,612,4.3,4.33
17706,0.31,Premium,H,VVS1,61.8,59,612,4.32,4.36
17707,0.3,Very Good,F,VVS2,64.1,55,613,4.2,4.25
17708,0.3,Very Good,F,VVS2,64.2,56,613,4.22,4.26
17709,0.31,Very Good,I,VVS1,57.7,62,613,4.51,4.53
17710,0.32,Very Good,F,VS1,59.1,59,613,4.45,4.48
17711,0.41,Ideal,J,VS2,62.4,55,613,4.75,4.77
17712,0.41,Ideal,J,VS2,62.4,53,613,4.79,4.83
17713,0.41,Ideal,J,VS2,62.2,54,613,4.76,4.79
17714,0.41,Ideal,J,VS2,61.7,55,613,4.8,4.82
17715,0.41,Ideal,J,VS2,62.3,54,613,4.77,4.8
17716,0.37,Ideal,E,SI1,61,56,613,4.66,4.68
17717,0.3,Good,F,VVS2,66,55,613,4.19,4.21
17718,0.5,Fair,F,I1,71,57,613,4.87,4.79
17719,0.37,Very Good,H,SI1,62.6,63,613,4.6,4.5
17720,0.5,Fair,F,I1,68.4,54,613,4.94,4.82
17721,0.33,Very Good,H,VVS2,61.6,56,614,4.44,4.47
17722,0.33,Very Good,H,VVS2,61.9,55,614,4.44,4.46
17723,0.33,Very Good,H,VVS2,61.8,57,614,4.43,4.46
17724,0.33,Very Good,H,VVS2,61.9,56,614,4.44,4.47
17725,0.26,Very Good,E,VVS2,62.9,56,614,4.07,4.1
17726,0.32,Ideal,H,VVS2,62.3,57,614,4.34,4.37
17727,0.32,Ideal,G,VS1,61.4,54,614,4.45,4.48
17728,0.39,Ideal,E,SI2,61,55,614,4.74,4.77
17729,0.3,Very Good,D,SI1,58.8,63,614,4.35,4.32
17730,0.35,Very Good,H,VS1,62.6,58,614,4.49,4.52
17731,1.01,Good,G,VVS2,62.4,61,7137,6.34,6.38
17732,1.01,Good,G,VVS2,63.2,59,7137,6.27,6.35
17733,1.03,Ideal,F,VS1,61.7,56,7137,6.49,6.54
17734,1.18,Premium,G,VS2,62.3,62,7137,6.72,6.69
17735,1.51,Very Good,I,SI2,62.9,58,7139,7.24,7.3
17736,1.51,Fair,J,VS1,65.2,56,7139,7.16,7.11
17737,1.13,Ideal,G,VS2,62.1,53,7140,6.69,6.74
17738,1.5,Premium,I,SI2,59.5,62,7140,7.46,7.39
17739,1.7,Premium,I,SI2,61.7,56,7140,7.66,7.57
17740,1.5,Very Good,I,SI1,60.2,63,7140,7.38,7.33
17741,1.2,Very Good,I,IF,59.1,61,7141,6.91,6.99
17742,1.21,Premium,H,VS2,61,58,7142,6.9,6.83
17743,1.23,Very Good,E,SI1,59.2,62,7143,7,7.05
17744,1.32,Good,I,VS1,59.2,58,7143,7.14,7.18
17745,1.56,Premium,J,VS1,61.3,59,7144,7.54,7.49
17746,1,Very Good,E,SI1,63,54,7145,6.36,6.4
17747,1.51,Premium,G,SI2,62.7,57,7145,7.33,7.29
17748,1.12,Ideal,D,SI1,61.2,58,7145,6.65,6.68
17749,1.51,Ideal,I,SI1,62.2,56,7145,7.36,7.27
17750,1,Very Good,D,VS2,61.5,63,7146,6.35,6.31
17751,1.46,Very Good,I,SI1,62.5,57,7146,7.15,7.19
17752,1.31,Good,G,SI1,63.4,56.5,7147,6.87,6.97
17753,1.19,Very Good,H,VS1,62.4,59,7147,6.73,6.79
17754,1.13,Ideal,G,VS2,61.9,56,7147,6.68,6.71
17755,1.33,Ideal,I,VS2,61.1,54,7148,7.14,7.15
17756,1.06,Very Good,D,VS2,59.6,60,7149,6.68,6.71
17757,0.92,Very Good,D,VVS2,62.8,58,7150,6.11,6.22
17758,1.5,Very Good,I,SI2,63.1,59,7150,7.24,7.15
17759,1.13,Premium,G,VS2,61.9,58,7151,6.7,6.67
17760,1.19,Very Good,E,VS2,59.2,60,7152,6.93,6.95
17761,1.22,Very Good,H,VS1,58.9,59,7152,6.96,7.02
17762,1.19,Good,H,VS1,60.8,61,7152,6.86,6.88
17763,1.12,Ideal,D,SI1,60.5,56,7153,6.75,6.78
17764,1.29,Premium,H,VS2,61.2,60,7153,7.03,6.95
17765,1.05,Premium,F,VS2,62.6,58,7154,6.5,6.47
17766,1.64,Good,G,SI2,63.8,58,7154,7.45,7.41
17767,1.22,Premium,F,VS2,63,60,7154,6.85,6.74
17768,1.51,Very Good,G,SI2,63.1,58,7154,7.23,7.19
17769,1.59,Ideal,J,SI2,62.1,54,7155,7.51,7.44
17770,1.17,Ideal,G,VS1,59.4,57,7155,6.93,6.87
17771,1.05,Ideal,G,VS1,61.3,57,7155,6.58,6.51
17772,1.56,Premium,I,SI1,61.7,59,7155,7.44,7.38
17773,1.42,Ideal,I,SI1,61.9,57,7157,7.23,7.15
17774,1.36,Ideal,F,SI2,62,56,7157,7.08,7.11
17775,1.13,Ideal,G,VS2,61.6,57,7159,6.68,6.7
17776,1.06,Ideal,G,VS2,62.8,55,7160,6.49,6.51
17777,1.5,Good,H,SI2,64.2,56,7161,7.2,7.26
17778,1.5,Very Good,H,SI2,62,63,7161,7.24,7.28
17779,1.55,Premium,E,SI2,58.5,57,7161,7.66,7.57
17780,1.51,Premium,I,SI2,62.6,59,7162,7.28,7.31
17781,1.32,Ideal,I,SI1,62,57,7162,6.99,7.04
17782,1.51,Good,J,SI1,62.4,64,7162,7.31,7.23
17783,1.24,Premium,F,SI1,61.6,59,7162,6.94,6.89
17784,1,Very Good,G,VVS2,60.3,62,7163,6.41,6.45
17785,1.32,Premium,H,SI1,61.5,61,7163,7.05,6.97
17786,1,Premium,G,VS1,59.7,59,7164,6.57,6.5
17787,1.01,Ideal,G,VVS2,60.6,57,7167,6.54,6.5
17788,1.07,Very Good,G,VS1,62.8,58,7168,6.48,6.52
17789,1,Ideal,E,VS2,59.6,57,7168,6.43,6.42
17790,1,Premium,E,VS2,61.3,58,7168,6.41,6.38
17791,1,Premium,E,VS2,63,58,7168,6.25,6.22
17792,1,Premium,F,VS2,60.7,57,7168,6.5,6.45
17793,1.33,Premium,H,SI1,61.9,58,7171,6.98,7.04
17794,1.14,Ideal,G,VS2,61.5,57,7171,6.72,6.68
17795,1.14,Very Good,G,VS1,63.4,58,7171,6.67,6.61
17796,1.32,Very Good,G,SI2,61.6,57,7173,6.98,7.05
17797,1.1,Very Good,F,VS2,62.8,56,7174,6.56,6.59
17798,1.15,Very Good,G,VS2,60.1,60,7175,6.75,6.8
17799,1.02,Ideal,F,VS2,62.3,56,7175,6.39,6.54
17800,1.16,Ideal,H,VS1,62.4,56,7175,6.71,6.73
17801,1.04,Premium,E,VS2,61.1,59,7175,6.56,6.54
17802,1.27,Very Good,H,VS2,59.2,58,7176,7.07,7.15
17803,1,Very Good,G,VVS2,63,56,7177,6.37,6.4
17804,1.5,Good,J,VS2,61.7,56,7177,7.23,7.33
17805,1.5,Good,J,VS2,63.6,58,7177,7.2,7.23
17806,1.5,Very Good,J,VS2,60.5,63,7177,7.27,7.32
17807,1,Ideal,E,VS2,62.5,57,7177,6.38,6.45
17808,1,Ideal,F,VS1,61.4,56,7177,6.46,6.51
17809,1.04,Good,G,VS1,63.8,57,7177,6.43,6.4
17810,1.23,Very Good,H,VS2,60.2,63,7177,6.95,6.91
17811,1.01,Ideal,G,VS1,61.8,58,7178,6.4,6.42
17812,1.01,Very Good,G,VS1,60.9,55,7179,6.46,6.51
17813,1.01,Ideal,G,VS2,61.9,56,7179,6.4,6.44
17814,1.01,Ideal,G,VS2,61.4,57,7179,6.44,6.5
17815,1.01,Ideal,G,VS1,61.9,54,7179,6.44,6.48
17816,1.11,Premium,F,VS2,61.3,56,7179,6.68,6.63
17817,1.23,Ideal,I,VS1,61.6,54,7181,6.9,6.94
17818,1.19,Ideal,H,VS1,62.1,54,7181,6.8,6.83
17819,1.5,Premium,E,SI2,61.5,60,7182,7.29,7.22
17820,1.35,Fair,I,VS2,61.6,62,7182,7.15,7.1
17821,1.25,Ideal,H,SI1,62.2,54,7182,6.93,6.88
17822,1.33,Ideal,I,VS2,62.5,54,7186,7.02,7.05
17823,1.52,Fair,J,VS1,65.4,58,7186,7.22,7.17
17824,1.08,Ideal,G,VS2,62.3,54,7187,6.59,6.61
17825,1.5,Premium,H,SI2,61.4,62,7187,7.4,7.25
17826,1.5,Fair,H,SI2,65.5,53,7187,7.14,7.11
17827,1.51,Fair,H,VS2,65.6,56,7188,7.08,4.7
17828,1.01,Very Good,G,VVS2,61.9,58,7188,6.38,6.44
17829,1.31,Very Good,H,SI1,60.3,58,7189,7.02,7.1
17830,1.07,Ideal,E,VS2,60,56,7190,6.64,6.62
17831,1.57,Premium,J,VS1,60.8,61,7190,7.6,7.49
17832,1,Good,E,VS1,60,65,7190,6.48,6.43
17833,1.2,Ideal,H,VS2,60.8,55,7190,6.9,6.85
17834,1.2,Very Good,D,SI1,60.7,58,7191,6.81,6.86
17835,1.03,Premium,E,VS2,61.2,59,7192,6.53,6.47
17836,1.02,Ideal,G,VS1,61.3,56,7192,6.49,6.53
17837,1.06,Ideal,H,VVS1,61.3,57,7193,6.55,6.53
17838,1.12,Ideal,G,VS2,62.2,54,7193,6.65,6.7
17839,1.01,Very Good,E,VS2,60.6,59,7195,6.43,6.47
17840,1.21,Very Good,H,VS1,60.4,59,7196,6.88,6.97
17841,1.02,Premium,F,VS1,60.5,56,7197,6.61,6.52
17842,1.7,Ideal,H,I1,62.6,54,7197,7.63,7.58
17843,1.02,Good,F,VS1,63.7,57,7197,6.39,6.35
17844,1.02,Good,F,VS1,57.9,59,7197,6.64,6.59
17845,1.36,Good,F,SI1,57.5,60,7197,7.36,7.31
17846,1.01,Ideal,E,VS2,61.6,57,7198,6.43,6.46
17847,1.07,Ideal,G,VS1,61.8,55,7198,6.59,6.55
17848,1.07,Ideal,G,VS1,62,56,7198,6.58,6.52
17849,1.14,Ideal,G,VS2,61.9,56,7199,6.69,6.71
17850,1,Good,D,VS2,63.9,56,7200,6.34,6.31
17851,1.22,Good,H,VS2,63.8,55,7201,6.77,6.71
17852,1.21,Premium,E,SI1,62.6,58,7203,6.79,6.82
17853,1.21,Very Good,H,SI1,59.6,60,7203,6.93,6.94
17854,1.16,Ideal,G,VS2,62.3,57,7203,6.72,6.66
17855,1.47,Premium,J,VS2,61.5,58,7203,7.31,7.29
17856,1.16,Premium,G,VS2,59.9,60,7203,6.88,6.85
17857,1,Very Good,F,VS1,60.4,59,7204,6.4,6.51
17858,1.33,Premium,H,SI1,61.1,61,7204,7.05,7.02
17859,1,Premium,F,VVS2,61.9,61,7204,6.45,6.32
17860,2,Ideal,H,I1,62.5,57,7204,8.05,7.98
17861,1.04,Very Good,F,VS1,63,56,7207,6.45,6.5
17862,1.19,Ideal,I,IF,61.7,56,7207,6.78,6.81
17863,1.51,Good,J,VS2,63.7,59,7207,7.12,7.2
17864,1.5,Good,I,SI1,64.2,56,7207,7.25,7.14
17865,1.51,Good,F,SI2,63.7,59,7208,7.15,7.26
17866,1.04,Ideal,E,SI1,61.8,56,7208,6.49,6.53
17867,1.32,Ideal,I,VS2,60.8,57,7209,7.07,7.02
17868,1.01,Ideal,F,VS1,63.2,56,7209,6.35,6.41
17869,1.24,Good,H,VS2,58.3,58,7210,7.09,7.15
17870,1.5,Very Good,I,SI2,63.4,58,7211,7.15,7.21
17871,1.5,Fair,H,SI1,65.9,56,7211,7.11,7.04
17872,1.03,Ideal,G,VS1,62.2,59,7211,6.48,6.42
17873,1.15,Premium,D,SI1,61.1,53,7213,6.83,6.76
17874,1.4,Ideal,H,SI2,61.2,56,7213,7.23,7.18
17875,1.42,Fair,G,VS2,59.6,66,7214,7.31,7.23
17876,0.9,Good,E,VVS1,63.4,60,7214,6.06,6.11
17877,1,Very Good,G,VVS2,60.7,56,7215,6.5,6.51
17878,1.41,Very Good,F,SI2,61.4,59,7215,7.17,7.2
17879,1.22,Ideal,E,SI1,61.7,56,7215,6.92,6.88
17880,1.5,Good,G,SI2,63.7,58,7216,7.15,7.22
17881,1.18,Ideal,H,VS1,64.9,58,7216,6.57,6.53
17882,1.18,Ideal,D,SI1,61.9,55,7216,6.8,6.76
17883,1.33,Ideal,H,SI1,62.7,56,7217,7.04,6.99
17884,1.36,Ideal,I,SI1,62,56,7218,7.08,7.11
17885,1.11,Ideal,E,SI1,62.1,55,7218,6.66,6.68
17886,1.27,Premium,H,VS2,62.1,60,7219,6.94,6.88
17887,1.27,Ideal,H,VS2,60.3,56,7219,7.08,7.02
17888,1.01,Premium,G,IF,61.3,58,7220,6.4,6.48
17889,1.04,Ideal,D,VS2,61.9,55,7220,6.5,6.52
17890,1.07,Ideal,G,VS1,61.4,57,7222,6.57,6.6
17891,1.24,Premium,H,VS1,62.2,59,7222,6.9,6.83
17892,1.24,Ideal,H,VS1,62.6,54,7222,6.88,6.84
17893,1.24,Ideal,H,VS1,63,56,7222,6.87,6.82
17894,1,Ideal,G,VS1,62.5,54,7223,6.41,6.45
17895,1.21,Premium,H,VS1,62.3,58,7223,6.84,6.77
17896,1.4,Premium,G,SI2,62,60,7225,7.1,7.16
17897,1.01,Very Good,G,VVS2,59.7,59,7226,6.5,6.56
17898,2.3,Premium,G,I1,60.2,59,7226,8.71,8.56
17899,1,Good,E,VVS2,65.3,56,7226,6.19,6.24
17900,1.25,Very Good,H,VS2,62.9,60,7227,6.77,6.83
17901,1.09,Ideal,G,VS2,60.6,57,7227,6.68,6.73
17902,1.01,Ideal,F,VS2,61.6,56,7229,6.48,6.45
17903,1.63,Ideal,F,I1,62,55,7229,7.57,7.5
17904,1.34,Very Good,D,SI2,62.3,59,7230,6.99,7.03
17905,0.85,Ideal,D,VVS1,62,56,7230,6.05,6.11
17906,1.26,Ideal,G,SI1,61.3,57,7230,6.94,6.99
17907,1.21,Ideal,E,SI1,62.2,54.1,7231,6.82,6.86
17908,1.07,Premium,F,VS1,62.4,58,7232,6.52,6.49
17909,1.51,Good,I,SI1,63.9,63,7233,7.17,7.2
17910,1.03,Very Good,F,VS1,62.2,57,7233,6.47,6.51
17911,1.38,Premium,H,VS1,61,60,7233,7.21,7.16
17912,1.01,Good,E,VS1,63.4,58,7234,6.36,6.38
17913,1.01,Very Good,G,VVS2,63,59,7234,6.25,6.38
17914,1.01,Very Good,G,VVS2,62.8,58,7234,6.38,6.42
17915,1.01,Very Good,G,VVS2,59.4,58,7234,6.51,6.53
17916,1.51,Premium,H,SI2,59.4,62,7235,7.47,7.31
17917,1.2,Ideal,H,VS2,62.4,56.6,7235,6.74,6.8
17918,1.7,Very Good,H,SI2,63.5,58,7235,7.5,7.43
17919,1,Premium,H,IF,60.6,57,7235,6.54,6.47
17920,1.21,Ideal,H,VS2,62.4,59,7236,6.81,6.79
17921,1.31,Good,I,VS2,62.5,56,7236,7.03,6.98
17922,1.09,Ideal,F,VS2,61.2,56,7238,6.68,6.65
17923,1.39,Premium,J,VS1,60.8,58,7239,7.26,7.21
17924,1.52,Very Good,J,SI1,62.3,57,7239,7.32,7.38
17925,1.01,Premium,F,VS2,61.7,58,7240,6.47,6.43
17926,1.07,Ideal,E,VS2,61.8,58,7240,6.53,6.61
17927,1.01,Ideal,E,VS2,59.3,57,7240,6.57,6.51
17928,1.53,Ideal,G,SI2,61.7,57,7240,7.44,7.41
17929,1.01,Premium,E,VS2,58,61,7240,6.53,6.5
17930,1.01,Premium,E,VS2,59.3,58,7240,6.53,6.49
17931,1.01,Ideal,F,VS1,62.2,57,7240,6.48,6.39
17932,1,Very Good,G,VVS2,62.1,59,7242,6.34,6.45
17933,1.2,Ideal,G,VS2,62.8,57,7243,6.78,6.72
17934,1.16,Ideal,G,VS2,61.7,57,7243,6.8,6.72
17935,1.48,Very Good,H,SI2,62.3,58,7244,7.18,7.23
17936,1,Premium,F,VS1,62.6,58,7244,6.4,6.37
17937,1.05,Premium,F,VS2,62.3,59,7244,6.5,6.46
17938,1.61,Premium,J,SI2,62.2,59,7245,7.52,7.47
17939,1.21,Very Good,H,VS1,62.3,58,7246,6.71,6.74
17940,1.25,Premium,H,VS2,60.4,59,7246,6.92,6.96
17941,1.05,Ideal,G,VS1,61.5,55,7247,6.56,6.59
17942,1.07,Good,E,VS2,63.1,56,7250,6.49,6.54
17943,1.21,Ideal,H,VS2,61.9,55,7250,6.86,6.8
17944,1.7,Premium,I,SI2,59.4,59,7250,7.83,7.75
17945,1.03,Good,E,VS1,63.3,59,7251,6.4,6.45
17946,1.02,Very Good,E,VS1,58.9,59,7253,6.52,6.65
17947,1.5,Ideal,I,SI2,60.6,59,7253,7.37,7.48
17948,1.51,Premium,J,SI1,60.6,57,7255,7.46,7.38
17949,1.06,Ideal,G,VS2,62.3,56,7255,6.49,6.54
17950,1.51,Good,I,VVS2,63.6,58,7255,7.29,7.26
17951,1.14,Ideal,G,VS1,62.5,56,7255,6.69,6.66
17952,1.55,Premium,I,SI2,61.5,58,7256,7.39,7.46
17953,1.23,Ideal,I,VVS2,62.5,57,7256,6.81,6.86
17954,1.21,Premium,F,SI1,61.6,59,7257,6.82,6.79
17955,1.02,Very Good,D,VS2,62.9,60,7257,6.37,6.42
17956,1.02,Very Good,F,VS1,61.9,59,7257,6.38,6.44
17957,2.31,Fair,G,I1,67.4,56,7257,8.05,7.99
17958,1.01,Very Good,F,VS2,62.8,57,7258,6.34,6.44
17959,1.2,Premium,G,VS2,59.4,58,7258,6.91,6.85
17960,1.2,Premium,G,VS2,59.6,58,7258,6.94,6.89
17961,2,Fair,F,I1,64.9,57,7258,7.99,7.82
17962,1.5,Premium,J,SI1,61.7,59,7258,7.36,7.32
17963,1,Premium,E,VS1,61.9,60,7260,6.41,6.44
17964,1,Very Good,G,VVS2,60.5,62,7260,6.39,6.44
17965,1,Good,E,VS1,63.6,59,7260,6.32,6.35
17966,1.25,Premium,E,SI1,60.9,59,7260,6.98,7.02
17967,1.23,Ideal,H,VS2,62.2,55,7260,6.85,6.81
17968,1.23,Ideal,H,VS2,62.3,56,7260,6.86,6.79
17969,1.22,Premium,E,SI1,62.6,58,7262,6.78,6.8
17970,1.01,Ideal,G,VS1,62.1,54,7262,6.41,6.43
17971,1.5,Premium,I,SI2,62.2,62,7266,7.27,7.2
17972,1.1,Ideal,H,VVS2,62,56,7267,6.59,6.63
17973,1.01,Very Good,G,VVS2,63.2,59,7267,6.35,6.27
17974,1.73,Premium,I,SI2,61.1,62,7270,7.64,7.54
17975,1.32,Very Good,H,SI1,62.3,57,7270,7.04,6.99
17976,1.05,Ideal,G,VS1,62.2,53,7270,6.51,6.55
17977,1.1,Very Good,F,VS2,62.7,58.5,7272,6.5,6.59
17978,1.51,Ideal,E,SI2,62.7,55,7272,7.27,7.18
17979,1.2,Very Good,G,VS2,62.4,59,7273,6.68,6.74
17980,1.07,Ideal,H,VVS1,61.7,56,7273,6.56,6.68
17981,1.7,Ideal,H,SI2,62.1,57,7273,7.68,7.63
17982,1.23,Premium,E,SI1,59.2,62,7274,7.05,7
17983,1.2,Premium,E,SI1,60.9,57,7274,6.86,6.8
17984,1.06,Premium,E,VS2,61.3,58,7275,6.52,6.56
17985,1.07,Ideal,G,VS2,61.9,55,7275,6.55,6.57
17986,1.07,Ideal,G,VS2,61.4,57,7275,6.56,6.63
17987,1.06,Ideal,E,VS2,61.9,55,7275,6.54,6.58
17988,1.14,Premium,F,VS2,62,59,7275,6.71,6.64
17989,1.11,Ideal,F,VS2,60.4,58,7275,6.73,6.66
17990,1.23,Very Good,H,VS1,61.3,53,7276,6.93,6.98
17991,1.75,Ideal,H,I1,61.5,54.9,7276,7.75,7.78
17992,1.05,Very Good,F,VS1,60.2,58,7276,6.62,6.74
17993,1.31,Premium,H,VS2,62.5,58,7277,6.97,6.94
17994,1.01,Premium,F,VS2,61.2,57.5,7277,6.43,6.45
17995,1.02,Very Good,E,SI1,63.7,55,7277,6.29,6.4
17996,1.31,Ideal,G,SI1,63.4,57,7277,6.97,6.87
17997,1.19,Premium,H,VS1,62.4,59,7277,6.79,6.73
17998,1.01,Very Good,D,VS2,62.8,57,7278,6.33,6.4
17999,1.21,Very Good,H,VS1,62,58,7279,6.76,6.91
18000,1.21,Very Good,H,VS1,62.4,60,7279,6.73,6.79
18001,1.01,Good,G,VVS1,63.1,59,7279,6.33,6.42
18002,1,Premium,D,VS1,61,58,7280,6.46,6.42
18003,1.06,Premium,D,VS2,59.6,60,7280,6.71,6.68
18004,1,Very Good,D,VS2,59.8,60,7281,6.46,6.49
18005,1.09,Very Good,G,VS1,60,57,7281,6.68,6.71
18006,1,Very Good,D,VS1,60,60,7281,6.44,6.49
18007,1.2,Premium,F,SI1,60.1,59,7282,6.92,6.85
18008,1.32,Very Good,H,SI1,62.8,56,7283,6.94,7
18009,1.05,Fair,G,VS1,65.6,58,7283,6.25,6.38
18010,1.22,Premium,H,VS1,58.9,59,7283,7.02,6.96
18011,1.47,Ideal,I,VS2,62.3,57,7284,7.24,7.3
18012,0.9,Ideal,E,VVS2,62.8,54,7286,6.11,6.21
18013,1.07,Ideal,F,SI1,61.5,56,7286,6.58,6.62
18014,1.01,Premium,E,VS2,59.2,59,7287,6.67,6.6
18015,1.54,Premium,G,SI2,61.6,58,7287,7.45,7.3
18016,1.01,Ideal,E,VS2,61.5,57,7288,6.44,6.48
18017,1.36,Very Good,E,SI2,61.7,59,7288,7.09,7.2
18018,1.25,Ideal,E,SI2,62.3,58,7289,6.86,6.89
18019,1.01,Very Good,E,VS2,59.5,60,7290,6.5,6.54
18020,1.01,Ideal,G,VS1,61.2,57,7290,6.42,6.47
18021,1.13,Ideal,G,VS2,61.6,57,7290,6.7,6.68
18022,1.5,Good,F,SI2,64.1,55,7291,7.15,7.11
18023,1.5,Very Good,H,SI2,62,63,7291,7.28,7.24
18024,1.5,Good,H,SI2,64.2,56,7291,7.26,7.2
18025,1.24,Fair,D,SI1,55.6,67,7291,7.27,7.11
18026,1.5,Premium,H,SI2,62.3,59,7291,7.27,7.21
18027,1.5,Good,H,SI2,64.2,61,7291,7.15,7.1
18028,1.02,Very Good,G,VVS2,61.3,59,7292,6.46,6.53
18029,1.09,Ideal,G,VS2,62.8,57,7292,6.54,6.58
18030,1.02,Good,G,VVS2,62.3,60,7292,6.38,6.49
18031,0.35,Ideal,I,VVS2,62.3,57,614,4.49,4.53
18032,0.35,Premium,H,VS1,61.7,59,614,4.51,4.53
18033,0.35,Premium,E,SI1,61.1,59,614,4.5,4.56
18034,0.35,Premium,H,VS1,62.6,59,614,4.45,4.5
18035,0.35,Ideal,E,SI1,61.2,57,614,4.52,4.56
18036,0.35,Ideal,E,SI1,62.3,56,614,4.53,4.56
18037,0.35,Premium,H,VS1,61.3,59,614,4.54,4.57
18038,0.35,Very Good,E,SI1,62.7,57,614,4.47,4.52
18039,0.35,Very Good,E,SI1,61.9,58,614,4.49,4.52
18040,0.35,Ideal,E,SI1,60.9,55,614,4.53,4.57
18041,0.35,Very Good,E,SI1,62.9,58,614,4.48,4.52
18042,0.3,Good,E,VS2,63.4,56,614,4.26,4.29
18043,0.35,Premium,E,SI1,59.7,60,614,4.53,4.58
18044,0.35,Premium,E,SI1,61.2,58,614,4.53,4.59
18045,0.35,Very Good,E,SI1,60.7,59,614,4.52,4.57
18046,0.3,Very Good,E,VS2,62.6,62,614,4.21,4.25
18047,0.35,Ideal,H,VS1,62,56,614,4.54,4.56
18048,0.35,Ideal,E,SI1,61,57,614,4.54,4.57
18049,0.35,Premium,E,SI1,60.8,60,614,4.51,4.57
18050,0.36,Very Good,E,SI1,59.9,60,615,4.59,4.62
18051,0.35,Ideal,G,VS2,62.5,53,615,4.53,4.56
18052,0.34,Ideal,H,VS1,62.4,55,615,4.48,4.5
18053,0.3,Ideal,F,VS1,62.3,54,615,4.31,4.33
18054,0.3,Ideal,I,IF,62,57,615,4.28,4.3
18055,0.3,Ideal,I,IF,62.5,56,615,4.26,4.28
18056,0.33,Very Good,D,VS2,60.8,60,615,4.52,4.46
18057,0.32,Very Good,F,VS1,62.2,55,616,4.37,4.39
18058,0.34,Ideal,G,VS2,60.8,56,616,4.53,4.55
18059,0.34,Ideal,G,VS2,61.4,55,616,4.51,4.54
18060,0.36,Premium,F,SI1,61.1,60,616,4.62,4.57
18061,1.51,Premium,I,SI2,62.6,59,7292,7.31,7.28
18062,1.51,Premium,I,SI2,58.7,59,7292,7.53,7.49
18063,1.14,Very Good,F,VS2,58.3,60,7293,6.87,6.91
18064,1.01,Good,E,VVS2,64.2,57,7293,6.3,6.34
18065,1.2,Ideal,H,VS1,62,57,7294,6.69,6.76
18066,1.04,Ideal,G,VS1,61.7,57,7294,6.47,6.53
18067,1.04,Ideal,G,VS1,61.5,56,7294,6.53,6.57
18068,2.01,Fair,F,I1,58.7,66,7294,8.3,8.19
18069,1.08,Ideal,G,VS2,62.3,57,7295,6.53,6.57
18070,1.03,Ideal,F,VS1,60.7,56,7296,6.54,6.6
18071,1.27,Ideal,H,SI1,59.8,57,7297,7.08,7.01
18072,1.23,Ideal,I,VVS2,62,55,7299,6.86,6.89
18073,1.5,Fair,G,SI1,56.1,62,7300,7.6,7.52
18074,1.33,Premium,H,SI1,61.9,58,7302,7.04,6.98
18075,1.63,Premium,I,SI1,61.5,60,7302,7.59,7.54
18076,1.01,Good,D,VS1,62.2,62,7303,6.29,6.41
18077,1.52,Fair,I,VVS2,64.9,56,7303,7.28,7.21
18078,1.54,Good,I,SI2,63.3,60,7304,7.31,7.34
18079,1.25,Very Good,H,VS2,62.1,56,7305,6.91,6.96
18080,1.34,Premium,D,SI2,61.5,58,7305,7.04,7.07
18081,1.01,Very Good,E,VS1,62.6,57,7306,6.28,6.37
18082,1.01,Good,G,VVS2,58.2,55,7306,6.65,6.68
18083,1.5,Very Good,J,VS2,60.5,63,7308,7.32,7.27
18084,1.5,Good,J,VS2,63.6,58,7308,7.23,7.2
18085,1.5,Premium,J,VS2,61.7,56,7308,7.33,7.23
18086,1.2,Very Good,E,SI1,62.7,57,7310,6.7,6.79
18087,1.11,Premium,F,VS1,62.8,56,7310,6.62,6.57
18088,1.22,Premium,H,VS2,60.8,59,7310,6.93,6.86
18089,1.39,Premium,E,SI2,62.7,58,7311,6.99,7.11
18090,1.02,Premium,E,VS2,60,59,7311,6.56,6.54
18091,1.27,Very Good,I,VS2,59.2,60,7312,7.11,7.08
18092,1.23,Very Good,H,SI1,62.5,56,7313,6.79,6.82
18093,1.23,Ideal,H,SI1,62.3,58,7313,6.85,6.89
